player,key,web_key,club,league,minutes,goals,assists,xg,xa,form
David Raya Martín,david raya martin,raya,Arsenal,EPL,3330,0,0,0.0,0.07,5.0
Kepa Arrizabalaga Revuelta,kepa arrizabalaga revuelta,arrizabalaga,Arsenal,EPL,90,0,0,0.0,0.0,0.7
Karl Hein,karl hein,hein,Arsenal,EPL,0,0,0,0.0,0.0,0.0
Tommy Setford,tommy setford,setford,Arsenal,EPL,0,0,0,0.0,0.0,0.0
Gabriel dos Santos Magalhães,gabriel dos santos magalhaes,gabriel,Arsenal,EPL,2750,3,5,2.94,1.75,6.0
William Saliba,william saliba,saliba,Arsenal,EPL,2614,1,0,0.88,1.21,4.3
Riccardo Calafiori,riccardo calafiori,calafiori,Arsenal,EPL,1697,1,2,3.36,0.76,3.3
Jurriën Timber,jurrien timber,j.timber,Arsenal,EPL,2452,3,6,4.71,1.53,0.0
Jakub Kiwior,jakub kiwior,kiwior,Arsenal,EPL,0,0,0,0.0,0.0,0.0
Myles Lewis-Skelly,myles lewis-skelly,lewis-skelly,Arsenal,EPL,697,0,0,0.1,0.2,3.0
Benjamin White,benjamin white,white,Arsenal,EPL,699,0,1,0.45,0.69,0.3
Brayden Clarke,brayden clarke,clarke,Arsenal,EPL,0,0,0,0.0,0.0,0.0
Maldini Kacurri,maldini kacurri,kacurri,Arsenal,EPL,0,0,0,0.0,0.0,0.0
Josh Nichols,josh nichols,nichols,Arsenal,EPL,0,0,0,0.0,0.0,0.0
Bukayo Saka,bukayo saka,saka,Arsenal,EPL,2218,7,10,7.57,7.16,4.0
Martin Ødegaard,martin ødegaard,ødegaard,Arsenal,EPL,1363,1,7,1.25,3.65,2.3
Noni Madueke,noni madueke,madueke,Arsenal,EPL,1205,3,1,1.23,2.86,4.0
Gabriel Martinelli Silva,gabriel martinelli silva,martinelli,Arsenal,EPL,1065,1,5,4.12,1.27,2.7
Leandro Trossard,leandro trossard,trossard,Arsenal,EPL,1997,6,6,5.6,3.59,3.7
Declan Rice,declan rice,rice,Arsenal,EPL,3093,4,9,3.15,7.32,2.7
Mikel Merino Zazón,mikel merino zazon,merino,Arsenal,EPL,1024,4,3,3.36,1.45,0.3
Fábio Ferreira Vieira,fabio ferreira vieira,fabio vieira,Arsenal,EPL,0,0,0,0.0,0.0,0.0
Christian Nørgaard,christian nørgaard,nørgaard,Arsenal,EPL,101,0,0,0.08,0.04,0.3
Ethan Nwaneri,ethan nwaneri,nwaneri,Arsenal,EPL,165,0,0,0.23,0.08,0.0
Martín Zubimendi Ibáñez,martin zubimendi ibanez,zubimendi,Arsenal,EPL,2991,5,1,2.84,2.27,1.3
Ismeal Kabia,ismeal kabia,kabia,Arsenal,EPL,0,0,0,0.0,0.0,0.0
Albert Sambi Lokonga,albert sambi lokonga,sambi,Arsenal,EPL,0,0,0,0.0,0.0,0.0
Kai Havertz,kai havertz,havertz,Arsenal,EPL,577,2,3,3.31,0.64,4.3
Gabriel Fernando de Jesus,gabriel fernando de jesus,g.jesus,Arsenal,EPL,418,3,0,2.71,0.26,1.7
Eberechi Eze,eberechi eze,eze,Arsenal,EPL,1885,7,3,5.18,2.66,2.3
Cristhian Mosquera,cristhian mosquera,mosquera,Arsenal,EPL,986,0,0,0.1,0.63,3.3
Viktor Gyökeres,viktor gyokeres,gyokeres,Arsenal,EPL,2217,14,1,12.26,1.94,1.3
Max Dowman,max dowman,dowman,Arsenal,EPL,152,1,1,1.19,0.3,1.0
Andre Harriman-Annous,andre harriman-annous,harriman-annous,Arsenal,EPL,0,0,0,0.0,0.0,0.0
Piero Hincapié,piero hincapie,hincapie,Arsenal,EPL,1787,1,2,0.36,1.67,1.0
Marli Salmon,marli salmon,salmon,Arsenal,EPL,0,0,0,0.0,0.0,0.0
Emiliano Martínez Romero,emiliano martinez romero,martinez,Aston Villa,EPL,2835,0,1,0.0,0.08,2.7
Marco Bizot,marco bizot,m.bizot,Aston Villa,EPL,585,0,0,0.0,0.0,0.7
Joe Gauci,joe gauci,gauci,Aston Villa,EPL,0,0,0,0.0,0.0,0.0
Filip Marschall,filip marschall,marschall,Aston Villa,EPL,0,0,0,0.0,0.0,0.0
Matty Cash,matty cash,cash,Aston Villa,EPL,3016,3,3,1.14,2.94,0.7
Lucas Digne,lucas digne,digne,Aston Villa,EPL,1842,0,7,0.67,3.28,1.7
Ezri Konsa Ngoyo,ezri konsa ngoyo,konsa,Aston Villa,EPL,3035,0,1,1.27,0.59,0.7
Ian Maatsen,ian maatsen,maatsen,Aston Villa,EPL,1590,0,1,1.26,2.39,2.3
Tyrone Mings,tyrone mings,mings,Aston Villa,EPL,1322,0,1,1.3,0.42,1.3
Pau Torres,pau torres,pau,Aston Villa,EPL,1673,0,2,1.33,0.39,1.7
Andrés García,andres garcia,a.garcia,Aston Villa,EPL,83,0,0,0.0,0.01,0.3
Álex Moreno Lopera,alex moreno lopera,alex moreno,Aston Villa,EPL,0,0,0,0.0,0.0,0.0
Lamare Bogarde,lamare bogarde,bogarde,Aston Villa,EPL,1042,0,0,0.0,0.2,1.0
Lino da Cruz Sousa,lino da cruz sousa,sousa,Aston Villa,EPL,0,0,0,0.0,0.0,0.0
Yasin Özcan,yasin ozcan,yasin,Aston Villa,EPL,0,0,0,0.0,0.0,0.0
Morgan Rogers,morgan rogers,rogers,Aston Villa,EPL,3280,10,8,6.84,4.32,4.7
Youri Tielemans,youri tielemans,tielemans,Aston Villa,EPL,1857,0,4,1.14,3.26,2.3
Leon Bailey,leon bailey,bailey,Aston Villa,EPL,450,0,2,0.5,1.46,2.0
Emiliano Buendía Stati,emiliano buendia stati,buendia,Aston Villa,EPL,1753,6,2,3.38,2.23,3.0
Samuel Iling-Junior,samuel iling-junior,iling jr,Aston Villa,EPL,0,0,0,0.0,0.0,0.0
Donyell Malen,donyell malen,malen,Aston Villa,EPL,640,4,2,4.03,0.35,0.0
John McGinn,john mcginn,mcginn,Aston Villa,EPL,2136,5,4,3.0,4.11,4.0
Ross Barkley,ross barkley,barkley,Aston Villa,EPL,844,3,2,1.58,1.26,5.0
Enzo Barrenechea,enzo barrenechea,barrenechea,Aston Villa,EPL,0,0,0,0.0,0.0,0.0
Lewis Dobbin,lewis dobbin,dobbin,Aston Villa,EPL,0,0,0,0.0,0.0,0.0
Boubacar Kamara,boubacar kamara,kamara,Aston Villa,EPL,1410,1,3,0.53,0.84,0.0
Amadou Onana,amadou onana,onana,Aston Villa,EPL,1755,2,0,1.68,0.69,0.3
Ben Broggio,ben broggio,broggio,Aston Villa,EPL,0,0,0,0.0,0.0,0.0
Leander Dendoncker,leander dendoncker,dendoncker,Aston Villa,EPL,0,0,0,0.0,0.0,0.0
Jamaldeen Jimoh-Aloba,jamaldeen jimoh-aloba,jimoh-aloba,Aston Villa,EPL,8,0,0,0.0,0.0,0.0
Kadan Young,kadan young,young,Aston Villa,EPL,0,0,0,0.0,0.0,0.0
Ollie Watkins,ollie watkins,watkins,Aston Villa,EPL,2833,16,4,15.4,1.18,12.3
Zépiqueno Redmond,zepiqueno redmond,redmond,Aston Villa,EPL,0,0,0,0.0,0.0,0.0
Harvey Elliott,harvey elliott,elliott,Aston Villa,EPL,110,0,0,0.29,0.08,0.0
Jadon Sancho,jadon sancho,sancho,Aston Villa,EPL,863,0,2,0.61,1.87,0.3
James Wright,james wright,wright,Aston Villa,EPL,0,0,0,0.0,0.0,0.0
Douglas Luiz Soares de Paulo,douglas luiz soares de paulo,douglas luiz,Aston Villa,EPL,913,1,1,0.53,1.42,1.3
Triston Rowe,triston rowe,rowe,Aston Villa,EPL,0,0,0,0.0,0.0,0.0
Bradley Burrowes,bradley burrowes,burrowes,Aston Villa,EPL,16,0,0,0.0,0.0,0.0
Sam Proctor,sam proctor,proctor,Aston Villa,EPL,0,0,0,0.0,0.0,0.0
Travis Patterson,travis patterson,patterson,Aston Villa,EPL,0,0,0,0.0,0.0,0.0
Victor Lindelöf,victor lindelof,lindelof,Aston Villa,EPL,942,0,1,0.28,0.1,1.3
George Hemmings,george hemmings,george hemmings,Aston Villa,EPL,25,0,0,0.04,0.01,0.0
Ronnie Hollingshead,ronnie hollingshead,hollingshead,Aston Villa,EPL,0,0,0,0.0,0.0,0.0
Leon Routh,leon routh,leon routh,Aston Villa,EPL,0,0,0,0.0,0.0,0.0
TJ Carroll,tj carroll,carroll,Aston Villa,EPL,0,0,0,0.0,0.0,0.0
Alysson Edward Franco da Rocha dos Santos,alysson edward franco da rocha dos santos,alysson,Aston Villa,EPL,47,0,0,0.05,0.05,0.0
Tammy Abraham,tammy abraham,abraham,Aston Villa,EPL,278,2,0,2.05,0.36,0.0
Max Weiß,max weiß,weiss,Burnley,EPL,270,0,0,0.0,0.0,2.3
Etienne Green,etienne green,green,Burnley,EPL,0,0,0,0.0,0.0,0.0
Václav Hladký,vaclav hladky,hladky,Burnley,EPL,0,0,0,0.0,0.0,0.0
Connor Roberts,connor roberts,roberts,Burnley,EPL,0,0,0,0.0,0.0,0.0
Kyle Walker,kyle walker,walker,Burnley,EPL,3095,0,2,0.15,1.29,1.7
Hannes Delcroix,hannes delcroix,delcroix,Burnley,EPL,0,0,0,0.0,0.0,0.0
Owen Dodgson,owen dodgson,dodgson,Burnley,EPL,0,0,0,0.0,0.0,0.0
Hjalmar Ekdal,hjalmar ekdal,ekdal,Burnley,EPL,1539,0,0,0.25,0.32,0.0
Maxime Estève,maxime esteve,esteve,Burnley,EPL,2933,0,0,0.73,0.59,1.7
Quilindschy Hartman,quilindschy hartman,hartman,Burnley,EPL,1825,0,6,0.32,1.98,0.0
Bashir Humphreys,bashir humphreys,humphreys,Burnley,EPL,1574,0,2,0.42,0.68,1.0
Jordan Beyer,jordan beyer,jordan,Burnley,EPL,0,0,0,0.0,0.0,0.0
Lucas Pires Silva,lucas pires silva,lucas pires,Burnley,EPL,1405,0,0,0.6,1.46,1.3
Shurandy Sambo,shurandy sambo,sambo,Burnley,EPL,0,0,0,0.0,0.0,0.0
Oliver Sonne,oliver sonne,sonne,Burnley,EPL,164,1,0,0.55,0.08,0.0
Axel Tuanzebe,axel tuanzebe,tuanzebe,Burnley,EPL,1201,1,0,0.61,0.12,2.3
Joe Worrall,joe worrall,worrall,Burnley,EPL,496,0,0,0.08,0.02,0.0
Jaidon Anthony,jaidon anthony,anthony,Burnley,EPL,2717,8,4,5.11,2.85,3.7
Manuel Benson Hedilazio,manuel benson hedilazio,benson,Burnley,EPL,0,0,0,0.0,0.0,0.0
Jacob Bruun Larsen,jacob bruun larsen,bruun larsen,Burnley,EPL,1014,0,1,1.37,1.16,1.0
Enock Agyei,enock agyei,boateng,Burnley,EPL,0,0,0,0.0,0.0,0.0
Darko Churlinov,darko churlinov,churlinov,Burnley,EPL,0,0,0,0.0,0.0,0.0
Josh Cullen,josh cullen,cullen,Burnley,EPL,1513,2,2,0.94,1.36,0.0
Marcus Edwards,marcus edwards,edwards,Burnley,EPL,1058,1,3,1.49,1.84,0.3
Hannibal Mejbri,hannibal mejbri,hannibal,Burnley,EPL,1219,1,5,0.91,2.08,2.3
Luca Koleosho,luca koleosho,koleosho,Burnley,EPL,0,0,0,0.0,0.0,0.0
Josh Laurent,josh laurent,laurent,Burnley,EPL,1752,1,0,0.87,0.48,0.7
Loum Tchaouna,loum tchaouna,tchaouna,Burnley,EPL,1259,2,2,1.27,0.91,3.7
Aaron Ramsey,aaron ramsey,a.ramsey,Burnley,EPL,0,0,0,0.0,0.0,0.0
Oluwaseun Adewumi,oluwaseun adewumi,adewumi,Burnley,EPL,0,0,0,0.0,0.0,0.0
Jaydon Banel,jaydon banel,banel,Burnley,EPL,9,0,0,0.0,0.0,0.0
Mike Trésor Ndayishimiye,mike tresor ndayishimiye,tresor,Burnley,EPL,37,0,0,0.0,0.0,0.0
Zian Flemming,zian flemming,flemming,Burnley,EPL,1764,11,0,7.94,0.41,5.0
