team,player,pos,club
Czech Republic,Matěj Kovář,GK,PSV Eindhoven
Czech Republic,David Zima,DF,Slavia Prague
Czech Republic,Tomáš Holeš,DF,Slavia Prague
Czech Republic,Robin Hranáč,DF,TSG Hoffenheim
Czech Republic,Vladimír Coufal,DF,TSG Hoffenheim
Czech Republic,Štěpán Chaloupek,DF,Slavia Prague
Czech Republic,Ladislav Krejčí,DF,Wolverhampton Wanderers
Czech Republic,Vladimír Darida,MF,Hradec Králové
Czech Republic,Adam Hložek,FW,TSG Hoffenheim
Czech Republic,Patrik Schick,FW,Bayer Leverkusen
Czech Republic,Jan Kuchta,FW,Sparta Prague
Czech Republic,Lukáš Červ,MF,Viktoria Plzeň
Czech Republic,Mojmír Chytil,FW,Slavia Prague
Czech Republic,David Jurásek,DF,Slavia Prague
Czech Republic,Pavel Šulc,FW,Lyon
Czech Republic,Jindřich Staněk,GK,Slavia Prague
Czech Republic,Lukáš Provod,MF,Slavia Prague
Czech Republic,Michal Sadílek,MF,Slavia Prague
Czech Republic,Tomáš Chorý,FW,Slavia Prague
Czech Republic,Jaroslav Zelený,DF,Sparta Prague
Czech Republic,David Douděra,DF,Slavia Prague
Czech Republic,Tomáš Souček,MF,West Ham United
Czech Republic,Lukáš Horníček,GK,Braga
Czech Republic,Alexandr Sojka,MF,Viktoria Plzeň
Czech Republic,Hugo Sochůrek,MF,Sparta Prague
Czech Republic,Denis Višinský,FW,Viktoria Plzeň
Mexico,Raúl Rangel,GK,Guadalajara
Mexico,Jorge Sánchez,DF,PAOK
Mexico,César Montes,DF,Lokomotiv Moscow
Mexico,Edson Álvarez,DF,Fenerbahçe
Mexico,Johan Vásquez,DF,Genoa
Mexico,Érik Lira,MF,Cruz Azul
Mexico,Luis Romo,MF,Guadalajara
Mexico,Álvaro Fidalgo,MF,Real Betis
Mexico,Raúl Jiménez,FW,Fulham
Mexico,Alexis Vega,FW,Toluca
Mexico,Santiago Giménez,FW,Milan
Mexico,Carlos Acevedo,GK,Santos Laguna
Mexico,Guillermo Ochoa,GK,AEL Limassol
Mexico,Armando González,FW,Guadalajara
Mexico,Israel Reyes,DF,América
Mexico,Julián Quiñones,FW,Al-Qadsiah
Mexico,Orbelín Pineda,MF,AEK Athens
Mexico,Obed Vargas,MF,Atlético Madrid
Mexico,Gilberto Mora,MF,Tijuana
